system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,answer_coverage_at_5,source_accuracy,source_accuracy_at_3,section_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline,chunk_config
baseline_gpt,108,0.0,0.0095470873488536,0.0,0.0,,,,0.2644365951418876,0.0,0.3010901860306384,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0,table_aware_clean_context
oracle_gpt,108,0.0,0.015534651432913,0.0,0.0,,,,0.4914529225271609,0.0,0.5335164277952302,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798,table_aware_clean_context
rag_gpt_tfidf_top3,108,0.0,0.0,0.0,0.0,,,,0.1436797969940084,0.0094820053351146,0.2195062268766816,255.92592592592592,3.712962962962963,7.572985229668794,2557.8041358339797,0.3055555555555556,0.3981481481481481,0.3981481481481481,1.0,1.0,0.3611111111111111,,446.8755356463912,table_aware_clean_context
random_context_gpt,108,0.0,0.0055916681856872,0.0,0.0,,,,0.2718142119270784,0.0,0.3135172332361065,256.0,7.453703703703703,7.526266332025881,2330.605033299982,0.0,0.0092592592592592,0.0092592592592592,0.3888888888888889,0.3888888888888889,0.3703703703703703,,219.67643311239362,table_aware_clean_context
baseline_gpt,108,0.0,0.0095470873488536,0.0,0.0,,,,0.2675484619965708,0.0,0.3084606488269788,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0,table_aware_mixed
oracle_gpt,108,0.0,0.015534651432913,0.0,0.0,,,,0.4930206245777231,0.0,0.5372856083429522,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798,table_aware_mixed
rag_gpt_tfidf_top3,108,0.0,0.0,0.0,0.0,,,,0.1400262528547534,0.0094056848816021,0.2225526199434642,255.92592592592592,3.712962962962963,7.572985229668794,2557.8041358339797,0.3055555555555556,0.3981481481481481,0.3981481481481481,1.0,1.0,0.3611111111111111,,446.8755356463912,table_aware_mixed
random_context_gpt,108,0.0,0.0059300758727906,0.0,0.0,,,,0.2879641458599103,0.0,0.331769867748436,256.0,8.018518518518519,7.52402690604881,2351.321686350539,0.0,0.0,0.0,0.3888888888888889,0.3888888888888889,0.3611111111111111,,240.39308616295057,table_aware_mixed
baseline_gpt,108,0.0,0.0095470873488536,0.0,0.0,,,,0.286980733965282,0.0,0.3276391733713724,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0,table_row_only
oracle_gpt,108,0.0,0.015534651432913,0.0,0.0,,,,0.489280952916791,0.0,0.5340577989333758,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798,table_row_only
rag_gpt_tfidf_top3,108,0.0,0.0,0.0,0.0,,,,0.2302850111284189,0.004027422155357,0.3177679576566098,227.94444444444449,3.0462962962962963,7.574208943932144,2542.1307459910777,0.0,0.0,0.0,0.8518518518518519,0.8518518518518519,0.0,,431.2021458034892,table_row_only
random_context_gpt,108,0.0,0.008462379906741,0.0,0.0,,,,0.666553926171252,0.0,0.720877832112213,255.69444444444449,17.564814814814813,7.625572606369301,2641.3864575153775,0.0,0.0,0.0,0.3518518518518518,0.3518518518518518,0.0,,530.457857327789,table_row_only
